phase,axis,coordinate_m,chrono_response_mm,genesis_response_mm,error_mm
residual,x,-0.12499999999999997,0.0,1.5895864963531494,1.5895864963531494
residual,x,-0.12,0.0,1.7569730281829834,1.7569730281829834
residual,x,-0.11499999999999999,0.0,1.9347786903381348,1.9347786903381348
residual,x,-0.10999999999999999,0.0,2.2468459606170654,2.2468459606170654
residual,x,-0.10499999999999998,0.0,2.373828649520874,2.373828649520874
residual,x,-0.09999999999999998,0.0,2.4318482875823975,2.4318482875823975
residual,x,-0.09499999999999997,0.0,2.416555166244507,2.416555166244507
residual,x,-0.09,0.0,2.3117806911468506,2.3117806911468506
residual,x,-0.08499999999999999,0.0,2.0335962772369385,2.0335962772369385
residual,x,-0.07999999999999999,0.0,1.5604450702667236,1.5604450702667236
residual,x,-0.07499999999999998,-11.030850410461426,0.9388902187347412,11.969740867614746
residual,x,-0.06999999999999998,-16.259273529052734,-0.8802615404129028,15.379012107849121
residual,x,-0.06499999999999997,-16.857080459594727,-6.88203239440918,9.975048065185547
residual,x,-0.06,-18.343488693237305,-3.1005659103393555,15.24292278289795
residual,x,-0.05499999999999999,-18.920507431030273,-5.429837226867676,13.490670204162598
residual,x,-0.04999999999999999,-19.47938346862793,-6.447603225708008,13.031780242919922
residual,x,-0.044999999999999984,-20.021591186523438,-6.427215099334717,13.594375610351562
residual,x,-0.03999999999999998,-20.546527862548828,-5.773418426513672,14.773109436035156
residual,x,-0.034999999999999976,-20.432857513427734,-5.089407920837402,15.343449592590332
residual,x,-0.02999999999999997,-21.10179328918457,-14.050093650817871,7.051699638366699
residual,x,-0.024999999999999967,-21.66817283630371,-4.486663341522217,17.181509017944336
residual,x,-0.019999999999999962,-21.048898696899414,-3.9624083042144775,17.086490631103516
residual,x,-0.014999999999999958,-20.848297119140625,-3.553713321685791,17.294584274291992
residual,x,-0.010000000000000009,-20.987348556518555,-3.2606759071350098,17.726673126220703
residual,x,-0.0050000000000000044,-20.006301879882812,-3.0842061042785645,16.922096252441406
residual,x,0.0,-18.486907958984375,-3.0240182876586914,15.462889671325684
residual,x,0.0050000000000000044,-20.913816452026367,-3.0800352096557617,17.833782196044922
residual,x,0.010000000000000009,-21.183069229125977,-3.252393960952759,17.930675506591797
residual,x,0.015000000000000013,-20.943275451660156,-3.541666030883789,17.401609420776367
residual,x,0.020000000000000018,-21.278156280517578,-3.9466354846954346,17.331520080566406
residual,x,0.025000000000000022,-21.605607986450195,-4.467372417449951,17.138235092163086
residual,x,0.030000000000000027,-21.005748748779297,-14.026955604553223,6.978793144226074
residual,x,0.03500000000000003,-20.297489166259766,-5.065537452697754,15.231951713562012
residual,x,0.040000000000000036,-20.284738540649414,-5.74414587020874,14.540592193603516
residual,x,0.04500000000000004,-19.69491958618164,-6.40113639831543,13.293783187866211
residual,x,0.050000000000000044,-19.09845733642578,-6.422490119934082,12.6759672164917
residual,x,0.05499999999999999,-18.499523162841797,-5.409310340881348,13.09021282196045
residual,x,0.06,-17.902158737182617,-3.084200382232666,14.81795883178711
residual,x,0.065,-17.302146911621094,-6.863947868347168,10.438199043273926
residual,x,0.07,-16.06123924255371,-0.8696521520614624,15.191587448120117
residual,x,0.07500000000000001,-10.878662109375,0.9384371638298035,11.817099571228027
residual,x,0.08000000000000002,0.0,1.5560358762741089,1.5560358762741089
residual,x,0.08500000000000002,0.0,2.0261709690093994,2.0261709690093994
residual,x,0.09000000000000002,0.0,2.3051352500915527,2.3051352500915527
residual,x,0.09500000000000003,0.0,2.409524917602539,2.409524917602539
residual,x,0.10000000000000003,0.0,2.424622058868408,2.424622058868408
residual,x,0.10500000000000004,0.0,2.366300582885742,2.366300582885742
residual,x,0.11000000000000004,0.0,2.239655017852783,2.239655017852783
residual,x,0.11500000000000005,0.0,1.9285718202590942,1.9285718202590942
residual,x,0.12,0.0,1.7514533996582031,1.7514533996582031
residual,x,0.125,0.0,1.5844969749450684,1.5844969749450684
residual,x,0.13,0.0,1.4310420751571655,1.4310420751571655
residual,x,0.135,0.0,1.287559151649475,1.287559151649475
residual,x,0.14,0.0,1.1556193828582764,1.1556193828582764
residual,x,0.14500000000000002,0.0,1.0384784936904907,1.0384784936904907
residual,x,0.15000000000000002,0.0,0.935110330581665,0.935110330581665
residual,x,0.15500000000000003,0.0,0.8454745411872864,0.8454745411872864
residual,x,0.16000000000000003,0.0,0.7710555195808411,0.7710555195808411
residual,x,0.16500000000000004,0.0,0.7112147808074951,0.7112147808074951
residual,x,0.17000000000000004,0.0,0.6631166934967041,0.6631166934967041
residual,x,0.17500000000000004,0.0,0.6261904835700989,0.6261904835700989
residual,x,0.18,0.0,0.6001802682876587,0.6001802682876587
residual,x,0.185,0.0,0.5777266025543213,0.5777266025543213
residual,x,0.19,0.0,0.5560486912727356,0.5560486912727356
residual,x,0.195,0.0,0.5351161360740662,0.5351161360740662
residual,x,0.2,0.0,0.5152989029884338,0.5152989029884338
residual,x,0.20500000000000002,0.0,0.49683189392089844,0.49683189392089844
residual,x,0.21000000000000002,0.0,0.4796454906463623,0.4796454906463623
residual,x,0.21500000000000002,0.0,0.4629010856151581,0.4629010856151581
residual,x,0.22000000000000003,0.0,0.446283221244812,0.446283221244812
residual,x,0.22500000000000003,0.0,0.4292770028114319,0.4292770028114319
residual,x,0.23000000000000004,0.0,0.4116661250591278,0.4116661250591278
residual,x,0.23500000000000004,0.0,0.3933926820755005,0.3933926820755005
residual,x,0.24000000000000005,0.0,0.37434494495391846,0.37434494495391846
residual,x,0.24500000000000005,0.0,0.35869237780570984,0.35869237780570984
